id,category,name,objective,method,pros,cons
1,Cognitivo-Conductual,Reestructuración Cognitiva,Identificar y cambiar patrones de pensamiento distorsionado.,"Identificar pensamientos automáticos, cuestionar con evidencia, buscar alternativas realistas.","Aborda la raíz, empodera al individuo.","Requiere capacidad metacognitiva, puede parecer forzada."
2,Cognitivo-Conductual,Activación Conductual,Aumentar conductas que generan placer y logro.,Cronograma de actividades programadas independientemente del estado emocional.,Rompe el ciclo de la depresión.,Puede encontrar resistencia inicial por falta de motivación.
3,Cognitivo-Conductual,Exposición y Prevención de Respuesta (ERP),Reducir miedo y evitación.,Jerarquía de exposición a estímulos temidos evitando compulsiones.,Gold standard para TOC y fobias.,Altamente ansiógena inicialmente.
4,Cognitivo-Conductual,Entrenamiento en Resolución de Problemas,Resolver problemas sistemáticamente.,"Definir problema, metas, generar soluciones, elegir e implementar.","Transferible a contextos, reduce rumiación.",Lenta para crisis inmediatas.
5,Cognitivo-Conductual,Autorregistro y Automonitoreo,Aumentar conciencia de patrones.,"Registrar conductas, pensamientos y emociones en formatos estructurados.","Genera datos objetivos, promueve metacognición.","Puede ser tedioso, requiere consistencia."
6,Cognitivo-Conductual,Entrenamiento de Habilidades Sociales,Desarrollar habilidades de interacción.,"Psicoeducación, modelado, role-play de contacto visual, escucha, asertividad.",Mejora relaciones y reduce aislamiento.,Generalización no automática.
7,Cognitivo-Conductual,Entrenamiento en Control de Ira,Reducir respuestas de ira desadaptativas.,"Identificar triggers, señales físicas, técnicas de relajación y reformulación.","Previene agresión, mejora salud.",Puede no abordar causas profundas.
8,ABA,Reforzamiento Positivo,Aumentar conductas deseadas.,Presentar estímulo reforzante inmediatamente después de la conducta.,"Científicamente validado, robusto.",Dependencia de recompensas externas.
9,ABA,Extinción Operante,Reducir conductas indeseadas.,Suprimir consistentemente la consecuencia que mantiene la conducta.,"Efectivo a largo plazo, no es castigo.",Explosión de extinción inicial.
10,ABA,Reforzamiento Diferencial,Aumentar deseadas/Reducir indeseadas.,Reforzar conductas alternativas (DRA) o incompatibles mientras se extinguen otras.,Menos adverso que el castigo.,Requiere identificación precisa de conductas.
11,ABA,Moldeamiento (Shaping),Enseñar conductas complejas nuevas.,Reforzar aproximaciones sucesivas hacia la conducta meta.,Permite enseñar conductas desde cero.,"Lento, requiere mucha observación."
12,ABA,Encadenamiento,Enseñar secuencias de conducta.,Desglosar en pasos (eslabones) y enseñar secuencialmente.,Útil para autonomía en vida diaria.,"Tedioso, errores requieren retroceso."
13,ABA,Desvanecimiento de Estímulos,Transferir control a estímulos naturales.,Reducir gradualmente la ayuda o prompt inicial.,Promueve independencia.,Requiere precisión en el timing.
14,ABA,Tiempo Fuera,Reducir conducta problemática.,Remoción breve del ambiente reforzante.,"Rápido, no físico.",Requiere que el ambiente normal sea rico en refuerzos.
15,ABA,Costo de Respuesta,Reducir conducta mediante penalización.,"Retirar un reforzador ganado previamente (fichas, tiempo).",Claro vínculo conducta-consecuencia.,Genera frustración.
16,Contextual/ACT,Desusión Cognitiva,Ver pensamientos como eventos mentales.,"Metáforas (nubes), repetición de palabras, etiquetar 'tengo el pensamiento'.",Reduce poder emocional de pensamientos.,Puede parecer extraña al inicio.
17,Contextual/ACT,Clarificación de Valores,Identificar dirección vital.,"Reflexión, ejercicios (funeral), distinguir valores de metas.",Proporciona motivación profunda.,Puede generar angustia al ver discrepancias.
18,Contextual/ACT,Acción Comprometida,Actuar según valores.,Metas SMART alineadas a valores a pesar de barreras internas.,Genera movimiento y resiliencia.,Dificultad ante barreras emocionales.
19,Contextual/ACT,Decentering y Perspectiva de Observador,Observar experiencias sin identificarse.,"Meditación, observar fenómenos como testigo.",Reduce identificación con lo negativo.,Requiere práctica extendida.
